Query_ID,Query_Text,Category,Sentiment,Platform,Confidence,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score
PA-001,I was charged twice for this order,payment_issues,Critical,WhatsApp,0.71,55%,Path C - Escalation,600,2.0
PA-002,"My payment failed, what should I do (query 1)?",payment_issues,Negative,WhatsApp,0.91,55%,Path C - Escalation,600,2.5
PA-003,I see an unauthorized charge on my account,payment_issues,Negative,Instagram,0.71,55%,Path C - Escalation,600,2.5
PA-004,Can you apply my discount code (query 3)?,payment_issues,Negative,Email,0.91,55%,Path C - Escalation,600,2.5
PA-005,"My credit card was declined, can I pay by other means (query 4)?",payment_issues,Critical,Email,0.93,55%,Path C - Escalation,600,2.0
PA-006,I notice you charged me 3 times. This looks like fraud!,payment_issues,Positive,Twitter,0.94,55%,Path C - Escalation,600,3.5
PA-007,What payment methods do you accept (query 6)?,payment_issues,Negative,Chat,0.76,55%,Path C - Escalation,600,2.5
PA-008,I was charged twice for this order,payment_issues,Neutral,Instagram,0.93,55%,Path C - Escalation,600,3.0
PA-009,"My payment failed, what should I do (query 8)?",payment_issues,Neutral,WhatsApp,0.93,55%,Path C - Escalation,600,3.0
PA-010,I see an unauthorized charge on my account,payment_issues,Neutral,Email,0.93,55%,Path C - Escalation,600,3.0
PA-011,Can you apply my discount code (query 10)?,payment_issues,Negative,Instagram,0.7,55%,Path C - Escalation,600,2.5
PA-012,"My credit card was declined, can I pay by other means (query 11)?",payment_issues,Positive,Chat,0.9,55%,Path C - Escalation,600,3.5
PA-013,I notice you charged me 3 times. This looks like fraud!,payment_issues,Negative,Twitter,0.67,55%,Path C - Escalation,600,2.5
PA-014,What payment methods do you accept (query 13)?,payment_issues,Neutral,Instagram,0.94,55%,Path C - Escalation,600,3.0
PA-015,I was charged twice for this order,payment_issues,Critical,Twitter,0.85,55%,Path C - Escalation,600,2.0
PA-016,"My payment failed, what should I do (query 15)?",payment_issues,Positive,WhatsApp,0.75,55%,Path C - Escalation,600,3.5
PA-017,I see an unauthorized charge on my account,payment_issues,Neutral,WhatsApp,0.92,55%,Path C - Escalation,600,3.0
PA-018,Can you apply my discount code (query 17)?,payment_issues,Neutral,Email,0.9,55%,Path C - Escalation,600,3.0
PA-019,"My credit card was declined, can I pay by other means (query 18)?",payment_issues,Negative,Email,0.97,55%,Path C - Escalation,600,2.5
PA-020,I notice you charged me 3 times. This looks like fraud!,payment_issues,Negative,Twitter,0.76,55%,Path C - Escalation,600,2.5
PA-021,What payment methods do you accept (query 20)?,payment_issues,Neutral,Twitter,0.77,55%,Path C - Escalation,600,3.0
PA-022,I was charged twice for this order,payment_issues,Neutral,Instagram,0.88,55%,Path C - Escalation,600,3.0
PA-023,"My payment failed, what should I do (query 22)?",payment_issues,Negative,Instagram,0.84,55%,Path C - Escalation,600,2.5
PA-024,I see an unauthorized charge on my account,payment_issues,Critical,Twitter,0.83,55%,Path C - Escalation,600,2.0
PA-025,Can you apply my discount code (query 24)?,payment_issues,Negative,Email,0.93,55%,Path C - Escalation,600,2.5
PA-026,"My credit card was declined, can I pay by other means (query 25)?",payment_issues,Neutral,Chat,0.72,55%,Path C - Escalation,600,3.0
PA-027,I notice you charged me 3 times. This looks like fraud!,payment_issues,Positive,Twitter,0.95,55%,Path C - Escalation,600,3.5
PA-028,What payment methods do you accept (query 27)?,payment_issues,Negative,Email,0.95,55%,Path C - Escalation,600,2.5
PA-029,I was charged twice for this order,payment_issues,Critical,Email,0.82,55%,Path C - Escalation,600,2.0
PA-030,"My payment failed, what should I do (query 29)?",payment_issues,Positive,Instagram,0.73,55%,Path C - Escalation,600,3.5
