Query_ID,Query_Text,Category,Sentiment,Platform,Confidence,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score
RE-001,I want a refund for my order,refund_requests,Neutral,Instagram,0.95,40%,Path C - Escalation,600,3.2
RE-002,Can I return and get my money back (query 1)?,refund_requests,Critical,Chat,0.71,40%,Path C - Escalation,600,2.2
RE-003,"This product is defective, I need a refund",refund_requests,Neutral,Instagram,0.83,40%,Path C - Escalation,600,3.2
RE-004,"The item arrived damaged, please refund",refund_requests,Neutral,Twitter,0.78,40%,Path C - Escalation,600,3.2
RE-005,"I changed my mind, can I get a refund (query 4)?",refund_requests,Neutral,Instagram,0.94,40%,Path C - Escalation,600,3.2
RE-006,How do I process a return for a refund (query 5)?,refund_requests,Critical,Instagram,0.87,40%,Path C - Escalation,600,2.2
RE-007,"I was charged twice, please refund one",refund_requests,Neutral,Chat,0.86,40%,Path C - Escalation,600,3.2
RE-008,"The order is 2 weeks late, I want a refund or replacement NOW!",refund_requests,Negative,Chat,0.88,40%,Path C - Escalation,600,2.7
RE-009,I want a refund for my order,refund_requests,Neutral,Chat,0.8,40%,Path C - Escalation,600,3.2
RE-010,Can I return and get my money back (query 9)?,refund_requests,Neutral,Instagram,0.89,40%,Path C - Escalation,600,3.2
RE-011,"This product is defective, I need a refund",refund_requests,Negative,WhatsApp,0.82,40%,Path C - Escalation,600,2.7
RE-012,"The item arrived damaged, please refund",refund_requests,Neutral,Instagram,0.86,40%,Path C - Escalation,600,3.2
RE-013,"I changed my mind, can I get a refund (query 12)?",refund_requests,Neutral,Email,0.73,40%,Path C - Escalation,600,3.2
RE-014,How do I process a return for a refund (query 13)?,refund_requests,Neutral,Chat,0.97,40%,Path C - Escalation,600,3.2
RE-015,"I was charged twice, please refund one",refund_requests,Neutral,Chat,0.71,40%,Path C - Escalation,600,3.2
RE-016,"The order is 2 weeks late, I want a refund or replacement NOW!",refund_requests,Positive,WhatsApp,0.93,40%,Path C - Escalation,600,3.7
RE-017,I want a refund for my order,refund_requests,Neutral,Twitter,0.87,40%,Path C - Escalation,600,3.2
RE-018,Can I return and get my money back (query 17)?,refund_requests,Positive,Email,0.95,40%,Path C - Escalation,600,3.7
RE-019,"This product is defective, I need a refund",refund_requests,Neutral,Email,0.81,40%,Path C - Escalation,600,3.2
RE-020,"The item arrived damaged, please refund",refund_requests,Positive,Twitter,0.96,40%,Path C - Escalation,600,3.7
RE-021,"I changed my mind, can I get a refund (query 20)?",refund_requests,Neutral,WhatsApp,0.74,40%,Path C - Escalation,600,3.2
RE-022,How do I process a return for a refund (query 21)?,refund_requests,Neutral,Chat,0.84,40%,Path C - Escalation,600,3.2
RE-023,"I was charged twice, please refund one",refund_requests,Negative,Chat,0.88,40%,Path C - Escalation,600,2.7
RE-024,"The order is 2 weeks late, I want a refund or replacement NOW!",refund_requests,Positive,Instagram,0.98,40%,Path C - Escalation,600,3.7
RE-025,I want a refund for my order,refund_requests,Neutral,WhatsApp,0.86,40%,Path C - Escalation,600,3.2
