Query_ID,Query_Text,Category,Sentiment,Platform,Confidence,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score
PR-001,This product is terrible quality,product_complaints,Negative,WhatsApp,0.81,45%,Path C - Escalation,600,2.8
PR-002,The item I received is not as described,product_complaints,Positive,Twitter,0.87,45%,Path C - Escalation,600,3.8
PR-003,Your product broke after one week,product_complaints,Negative,Instagram,0.92,45%,Path C - Escalation,600,2.8
PR-004,The packaging was damaged on arrival,product_complaints,Neutral,Email,0.97,45%,Path C - Escalation,600,3.3
PR-005,This is not what I ordered,product_complaints,Neutral,Instagram,0.76,45%,Path C - Escalation,600,3.3
PR-006,The product smells bad,product_complaints,Positive,Email,0.74,45%,Path C - Escalation,600,3.8
PR-007,The fitness equipment is defective,product_complaints,Neutral,Twitter,0.91,45%,Path C - Escalation,600,3.3
PR-008,Will you match a competitor's pricing on this item (query 7)?,product_complaints,Neutral,Twitter,0.79,45%,Path C - Escalation,600,3.3
PR-009,This product is terrible quality,product_complaints,Critical,Twitter,0.68,45%,Path C - Escalation,600,2.3
PR-010,The item I received is not as described,product_complaints,Positive,Twitter,0.72,45%,Path C - Escalation,600,3.8
PR-011,Your product broke after one week,product_complaints,Negative,Email,0.95,45%,Path C - Escalation,600,2.8
PR-012,The packaging was damaged on arrival,product_complaints,Negative,Chat,0.83,45%,Path C - Escalation,600,2.8
PR-013,This is not what I ordered,product_complaints,Critical,Chat,0.84,45%,Path C - Escalation,600,2.3
PR-014,The product smells bad,product_complaints,Neutral,Chat,0.93,45%,Path C - Escalation,600,3.3
PR-015,The fitness equipment is defective,product_complaints,Negative,Email,0.78,45%,Path C - Escalation,600,2.8
PR-016,Will you match a competitor's pricing on this item (query 15)?,product_complaints,Negative,Twitter,0.82,45%,Path C - Escalation,600,2.8
PR-017,This product is terrible quality,product_complaints,Critical,Chat,0.9,45%,Path C - Escalation,600,2.3
PR-018,The item I received is not as described,product_complaints,Positive,Chat,0.83,45%,Path C - Escalation,600,3.8
PR-019,Your product broke after one week,product_complaints,Positive,WhatsApp,0.74,45%,Path C - Escalation,600,3.8
PR-020,The packaging was damaged on arrival,product_complaints,Neutral,Chat,0.81,45%,Path C - Escalation,600,3.3
PR-021,This is not what I ordered,product_complaints,Negative,Chat,0.67,45%,Path C - Escalation,600,2.8
PR-022,The product smells bad,product_complaints,Neutral,Twitter,0.73,45%,Path C - Escalation,600,3.3
PR-023,The fitness equipment is defective,product_complaints,Negative,WhatsApp,0.72,45%,Path C - Escalation,600,2.8
PR-024,Will you match a competitor's pricing on this item (query 23)?,product_complaints,Neutral,Twitter,0.79,45%,Path C - Escalation,600,3.3
PR-025,This product is terrible quality,product_complaints,Neutral,Chat,0.84,45%,Path C - Escalation,600,3.3
PR-026,The item I received is not as described,product_complaints,Positive,Chat,0.7,45%,Path C - Escalation,600,3.8
PR-027,Your product broke after one week,product_complaints,Neutral,Twitter,0.74,45%,Path C - Escalation,600,3.3
PR-028,The packaging was damaged on arrival,product_complaints,Neutral,WhatsApp,0.73,45%,Path C - Escalation,600,3.3
PR-029,This is not what I ordered,product_complaints,Negative,Twitter,0.68,45%,Path C - Escalation,600,2.8
PR-030,The product smells bad,product_complaints,Critical,WhatsApp,0.66,45%,Path C - Escalation,600,2.3
PR-031,The fitness equipment is defective,product_complaints,Positive,WhatsApp,0.73,45%,Path C - Escalation,600,3.8
PR-032,Will you match a competitor's pricing on this item (query 31)?,product_complaints,Negative,WhatsApp,0.79,45%,Path C - Escalation,600,2.8
PR-033,This product is terrible quality,product_complaints,Negative,Twitter,0.73,45%,Path C - Escalation,600,2.8
