Query_ID,Query_Text,Category,Sentiment,Platform,Confidence,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score
OR-001,Can you track my order #ORD-98765?,order_tracking,Negative,Email,0.78,95%,Path A - API Resolution,210,4.0
OR-002,Where's my package (query 1)? Order ORD-45321,order_tracking,Critical,Twitter,0.73,95%,Path A - API Resolution,210,3.5
OR-003,How do I check my order status (query 2)?,order_tracking,Neutral,WhatsApp,0.92,95%,Path A - API Resolution,210,4.5
OR-004,What's the status of order #ORD-56789 (query 3)?,order_tracking,Positive,Twitter,0.78,95%,Path A - API Resolution,210,5.0
OR-005,When will my fitness equipment arrive (query 4)?,order_tracking,Positive,Twitter,0.98,95%,Path A - API Resolution,210,5.0
OR-006,Is my order ORD-99111 still on schedule (query 5)?,order_tracking,Negative,WhatsApp,0.77,95%,Path A - API Resolution,210,4.0
OR-007,Can you rush my order delivery (query 6)?,order_tracking,Neutral,Email,0.89,95%,Path A - API Resolution,210,4.5
OR-008,I need to know my order status ASAP!,order_tracking,Neutral,Twitter,0.98,95%,Path A - API Resolution,210,4.5
OR-009,Can you track my order #ORD-98765 (query 8)?,order_tracking,Neutral,Twitter,0.97,95%,Path A - API Resolution,210,4.5
OR-010,Where's my package (query 9)? Order ORD-45321,order_tracking,Critical,Email,0.92,95%,Path A - API Resolution,210,3.5
OR-011,How do I check my order status (query 10)?,order_tracking,Negative,Instagram,0.68,95%,Path A - API Resolution,210,4.0
OR-012,What's the status of order #ORD-56789 (query 11)?,order_tracking,Positive,Twitter,0.92,95%,Path A - API Resolution,210,5.0
OR-013,When will my fitness equipment arrive (query 12)?,order_tracking,Critical,WhatsApp,0.89,95%,Path A - API Resolution,210,3.5
OR-014,Is my order ORD-99111 still on schedule (query 13)?,order_tracking,Neutral,Twitter,0.84,95%,Path A - API Resolution,210,4.5
OR-015,Can you rush my order delivery (query 14)?,order_tracking,Neutral,Instagram,0.92,95%,Path A - API Resolution,210,4.5
OR-016,I need to know my order status ASAP!,order_tracking,Neutral,Instagram,0.92,95%,Path A - API Resolution,210,4.5
OR-017,Can you track my order #ORD-98765 (query 16)?,order_tracking,Neutral,Twitter,0.75,95%,Path A - API Resolution,210,4.5
OR-018,Where's my package (query 17)? Order ORD-45321,order_tracking,Neutral,Chat,0.86,95%,Path A - API Resolution,210,4.5
OR-019,How do I check my order status (query 18)?,order_tracking,Negative,Twitter,0.85,95%,Path A - API Resolution,210,4.0
OR-020,What's the status of order #ORD-56789 (query 19)?,order_tracking,Negative,Instagram,0.77,95%,Path A - API Resolution,210,4.0
OR-021,When will my fitness equipment arrive (query 20)?,order_tracking,Negative,Twitter,0.66,95%,Path A - API Resolution,210,4.0
OR-022,Is my order ORD-99111 still on schedule (query 21)?,order_tracking,Neutral,Email,0.95,95%,Path A - API Resolution,210,4.5
OR-023,Can you rush my order delivery (query 22)?,order_tracking,Positive,Email,0.95,95%,Path A - API Resolution,210,5.0
OR-024,I need to know my order status ASAP!,order_tracking,Negative,Chat,0.96,95%,Path A - API Resolution,210,4.0
OR-025,Can you track my order #ORD-98765 (query 24)?,order_tracking,Neutral,Email,0.71,95%,Path A - API Resolution,210,4.5
OR-026,Where's my package (query 25)? Order ORD-45321,order_tracking,Neutral,Chat,0.88,95%,Path A - API Resolution,210,4.5
OR-027,How do I check my order status (query 26)?,order_tracking,Neutral,Instagram,0.92,95%,Path A - API Resolution,210,4.5
OR-028,What's the status of order #ORD-56789 (query 27)?,order_tracking,Positive,Email,0.87,95%,Path A - API Resolution,210,5.0
OR-029,When will my fitness equipment arrive (query 28)?,order_tracking,Neutral,WhatsApp,0.97,95%,Path A - API Resolution,210,4.5
OR-030,Is my order ORD-99111 still on schedule (query 29)?,order_tracking,Neutral,Twitter,0.83,95%,Path A - API Resolution,210,4.5
OR-031,Can you rush my order delivery (query 30)?,order_tracking,Neutral,Twitter,0.79,95%,Path A - API Resolution,210,4.5
OR-032,I need to know my order status ASAP!,order_tracking,Positive,Chat,0.73,95%,Path A - API Resolution,210,5.0
OR-033,Can you track my order #ORD-98765 (query 32)?,order_tracking,Neutral,Twitter,0.84,95%,Path A - API Resolution,210,4.5
OR-034,Where's my package (query 33)? Order ORD-45321,order_tracking,Neutral,Chat,0.82,95%,Path A - API Resolution,210,4.5
OR-035,How do I check my order status (query 34)?,order_tracking,Neutral,Email,0.74,95%,Path A - API Resolution,210,4.5
OR-036,What's the status of order #ORD-56789 (query 35)?,order_tracking,Positive,WhatsApp,0.83,95%,Path A - API Resolution,210,5.0
OR-037,When will my fitness equipment arrive (query 36)?,order_tracking,Neutral,Twitter,0.9,95%,Path A - API Resolution,210,4.5
OR-038,Is my order ORD-99111 still on schedule (query 37)?,order_tracking,Negative,Email,0.97,95%,Path A - API Resolution,210,4.0
OR-039,Can you rush my order delivery (query 38)?,order_tracking,Neutral,Email,0.87,95%,Path A - API Resolution,210,4.5
OR-040,I need to know my order status ASAP!,order_tracking,Critical,Email,0.94,95%,Path A - API Resolution,210,3.5
OR-041,Can you track my order #ORD-98765 (query 40)?,order_tracking,Positive,Chat,0.93,95%,Path A - API Resolution,210,5.0
OR-042,Where's my package (query 41)? Order ORD-45321,order_tracking,Critical,WhatsApp,0.81,95%,Path A - API Resolution,210,3.5
