Query_ID,Query_Text,Category,Sub_Category,Sentiment,Sentiment_Intensity,Sarcasm_Detected,Platform,Confidence,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score,Entity_Extraction,Escalation_Required,Business_Impact
COMPLEX-001,"My order ORD-12345 is 5 days late AND I want a refund!",Delivery Delays,Multiple Intent,Negative,High,FALSE,WhatsApp,0.88,60%,Path C - Escalation,600,3.5,"Order: ORD-12345, Issue: Delay + Refund",TRUE,High
COMPLEX-002,"I was charged twice for my subscription AND the service is terrible!",Payment Issues,Multiple Intent,Critical,Very High,FALSE,Email,0.92,50%,Path C - Escalation,600,2.8,"Charge ID: DUP-001, Subscription: SUB-456",TRUE,Critical
COMPLEX-003,"How do I use the app? It keeps crashing when I try to track orders",General Questions,Technical Support,Neutral,Medium,FALSE,Chat,0.85,65%,Path B - RAG Response,420,3.9,"App Issue: Crash, Feature: Order Tracking",FALSE,Medium
COMPLEX-004,"Oh great my package is late. AGAIN.",Delivery Delays,Sarcasm,Negative,High,TRUE,Instagram,0.92,65%,Path B - RAG Response,420,3.7,"Order: Previous + Current, Pattern: Recurring",TRUE,High
COMPLEX-005,"Your customer service is...interesting.",Product Complaints,Implied Negativity,Negative,Medium,TRUE,Email,0.72,40%,Path C - Escalation,600,3.2,"Service Quality: Negative Implication",TRUE,Medium
COMPLEX-006,Dónde está mi pedido #ORD-98765?,Order Tracking,Multilingual,Neutral,Low,FALSE,WhatsApp,0.90,90%,Path A - API Resolution,210,4.4,"Language: Spanish, Order: ORD-98765",FALSE,Low
COMPLEX-007,Wo ist mein Paket?,Order Tracking,Multilingual,Neutral,Low,FALSE,Chat,0.88,90%,Path A - API Resolution,210,4.3,"Language: German, Category: Package Tracking",FALSE,Low
COMPLEX-008,"My order is 2 weeks late! This is ridiculous!",Delivery Delays,Angry Customer,Critical,Very High,FALSE,Email,0.78,30%,Path C - Escalation Priority,600,2.8,"Order: ORD-77889, Delay: 14 days",TRUE,Critical
COMPLEX-009,"I want to speak to management NOW! This is unacceptable!",Product Complaints,Angry Escalation,Critical,Very High,FALSE,WhatsApp,0.92,10%,Path C - Escalation Priority,600,2.5,"Escalation Tier: Management, Urgency: Immediate",TRUE,Critical
COMPLEX-010,"I've been a loyal customer for 5 years and this service is shocking!",Product Complaints,VIP Customer,Negative,High,FALSE,Email,0.85,45%,Path C - Escalation,600,3.3,"Customer LTV: High, History: 5 years",TRUE,Very High
COMPLEX-011,"I placed 3 orders last week. Status on ORD-11223 ORD-33445 ORD-55667?",Order Tracking,Batch Query,Neutral,Low,FALSE,Chat,0.85,85%,Path A - API Resolution,290,4.3,"Orders: 3x, Status: Batch Query",FALSE,Low
COMPLEX-012,"First the product arrived damaged then the refund took forever!",Refund Requests,Compound Issue,Negative,High,FALSE,Instagram,0.88,70%,Path C - Escalation,600,3.4,"Issues: Damage + Refund Delay, Compounds: 2",TRUE,High
COMPLEX-013,"I notice you charged me 3 times. This looks like fraud!",Payment Issues,Fraud,Critical,Very High,FALSE,Email,0.97,5%,Path C - Escalation Priority,600,2.4,"Charges: 3x, Suspected: Fraud, Urgency: Critical",TRUE,Critical
COMPLEX-014,"Can you expedite my order and apply my discount code simultaneously?",Order Tracking,Multiple Requests,Neutral,Low,FALSE,WhatsApp,0.79,75%,Path B - RAG Response,420,4.0,"Requests: 2x, Features: Expedite + Discount",FALSE,Low
COMPLEX-015,"My subscription renewed without explicit consent. Is this legal?",Subscription Issues,Compliance,Negative,High,FALSE,Chat,0.81,50%,Path C - Escalation,600,3.5,"Issue: Auto-renewal, Concern: Legal/Compliance",TRUE,High
COMPLEX-016,"I'm physically disabled and need accessible order tracking options",General Questions,Accessibility,Positive,Low,FALSE,Email,0.94,85%,Path B - RAG Response,420,4.5,"Need: Accessibility, Requirement: Special Accommodation",FALSE,High
COMPLEX-017,"Will you match a competitor's pricing on this item?",Product Complaints,Price Negotiation,Neutral,Low,FALSE,Chat,0.75,60%,Path B - RAG Response,420,3.8,"Request: Price Match, Category: Negotiation",FALSE,Low
COMPLEX-018,"The tracking info says delivered but I never received it!",Order Tracking,Contradictory Status,Negative,High,FALSE,WhatsApp,0.91,50%,Path C - Escalation,600,3.3,"Status: Contradiction, Delivery Claim: Disputed",TRUE,High
COMPLEX-019,"Can you provide order history for the past 2 years? I need it for tax purposes",General Questions,Data Request,Neutral,Low,FALSE,Email,0.92,95%,Path A - API Resolution,180,4.4,"Request: Historical Data, Purpose: Compliance",FALSE,Low
COMPLEX-020,"I found the product cheaper elsewhere. Will you honor a price adjustment?",Product Complaints,Price Mismatch,Neutral,Low,FALSE,Chat,0.78,70%,Path B - RAG Response,420,3.9,"Issue: Price Discrepancy, Request: Adjustment",FALSE,Low
COMPLEX-021,"This is my 4th replacement for the same product. I want a full refund!",Product Complaints,Recurring Defect,Critical,Very High,FALSE,Email,0.89,80%,Path C - Escalation Priority,600,2.9,"Replacements: 4x, Pattern: Recurring Defect",TRUE,Critical
COMPLEX-022,"My order ORD-99887 disappeared from my tracking. Where is it?!",Order Tracking,Lost Tracking,Negative,High,FALSE,Instagram,0.85,40%,Path C - Escalation,600,3.2,"Order: ORD-99887, Status: Lost in Transit",TRUE,High
