Query_ID,Query_Text,Category,Sentiment,Platform,Confidence,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score
OT-001,Can you track my order #ORD-98765?,Order Tracking,Neutral,Email,0.98,95%,Path A - API Resolution,210,4.5
OT-002,Where's my package? Order ORD-45321,Order Tracking,Neutral,WhatsApp,0.96,95%,Path A - API Resolution,210,4.5
OT-003,How do I check my order status? ORD-11122,Order Tracking,Neutral,Chat,0.94,95%,Path A - API Resolution,210,4.5
OT-004,What's the status of order #ORD-56789?,Order Tracking,Neutral,Email,0.95,95%,Path A - API Resolution,210,4.5
OT-005,Can you provide tracking for ORD-77889?,Order Tracking,Neutral,Instagram,0.93,95%,Path A - API Resolution,210,4.5
OT-006,I need to know my order status ASAP! ORD-33445,Order Tracking,Negative,WhatsApp,0.91,95%,Path A - API Resolution,210,4.5
OT-007,Where is my order ORD-99887? I've been waiting!,Order Tracking,Negative,Email,0.89,95%,Path A - API Resolution,210,4.5
OT-008,When will my fitness equipment arrive? ORD-22334,Order Tracking,Neutral,Chat,0.92,95%,Path A - API Resolution,210,4.5
OT-009,Check delivery for ORD-55443 please,Order Tracking,Positive,WhatsApp,0.94,95%,Path A - API Resolution,210,4.5
OT-010,I'm checking order ORD-66554. Any updates?,Order Tracking,Neutral,Email,0.93,95%,Path A - API Resolution,210,4.5
OT-011,Track order #ORD-12345 and let me know when it arrives,Order Tracking,Neutral,Chat,0.90,95%,Path A - API Resolution,210,4.5
OT-012,Does my order ORD-88776 have GPS tracking?,Order Tracking,Neutral,WhatsApp,0.87,95%,Path B - RAG Response,320,4.5
OT-013,"I placed 3 orders. Status on ORD-11223, ORD-33445, ORD-55667?",Order Tracking,Neutral,Email,0.85,95%,Path A - API Resolution,210,4.5
OT-014,Order ORD-44332: Where exactly is it?,Order Tracking,Negative,Chat,0.88,95%,Path A - API Resolution,210,4.5
OT-015,My order ORD-77889 was supposed to arrive yesterday!,Order Tracking,Negative,WhatsApp,0.86,95%,Path A - API Resolution,210,4.5
OT-016,Is my order ORD-99111 still on schedule?,Order Tracking,Neutral,Email,0.92,95%,Path A - API Resolution,210,4.5
OT-017,Can you rush my order ORD-22445 delivery?,Order Tracking,Neutral,Chat,0.83,90%,Path B - RAG Response,320,4.4
OT-018,Order tracking link for ORD-33556?,Order Tracking,Neutral,Instagram,0.94,95%,Path A - API Resolution,210,4.5
OT-019,How do I track my order ORD-44667?,Order Tracking,Neutral,Email,0.96,95%,Path A - API Resolution,210,4.5
OT-020,Order ORD-55778: Real-time GPS tracking available?,Order Tracking,Neutral,Chat,0.84,90%,Path B - RAG Response,320,4.4
OT-021,Track ORD-66889. Also when can I expect it?,Order Tracking,Neutral,WhatsApp,0.89,95%,Path A - API Resolution,210,4.5
OT-022,I have order ORD-77990. I need updates every hour,Order Tracking,Negative,Email,0.81,85%,Path B - RAG Response,320,4.3
OT-023,Order status for ORD-88001 and ORD-99112?,Order Tracking,Neutral,Chat,0.87,95%,Path A - API Resolution,210,4.5
OT-024,When will ORD-11334 arrive at my location?,Order Tracking,Neutral,WhatsApp,0.91,95%,Path A - API Resolution,210,4.5
